,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_in,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_lbs,Price,Price-binned,Screen_Full-HD,Screen_IPS-Panel
0,0,Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,Low,False,True
1,1,Dell,3,1,1,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,634,Low,True,False
2,2,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,946,Low,True,False
3,3,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,128,2.6901,1244,Low,False,True
4,4,HP,4,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.21155,837,Low,True,False
5,5,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1016,Low,True,False
6,6,HP,3,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.6305000000000005,1117,Low,True,False
7,7,Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,Low,False,True
8,8,Dell,3,1,1,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,812,Low,True,False
9,9,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,Low,False,True
10,10,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.69665,975,Low,True,False
11,11,HP,3,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.21155,558,Low,True,False
12,12,Asus,3,2,2,3,15.598425196850393,0.6896551724137931,4,256,4.41,527,Low,True,False
13,13,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,Low,True,False
14,14,Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,Low,True,False
15,15,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1013,876,Low,True,False
16,16,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,Low,False,True
17,17,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1105,Low,True,False
18,18,Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,Low,False,True
19,19,HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,Low,True,False
20,20,HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,Low,False,True
21,21,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.3218,761,Low,True,False
22,22,Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,Medium,False,True
23,23,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.84325,1518,Low,True,False
24,24,Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,Low,True,False
25,25,Dell,3,1,2,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,616,Low,True,False
26,26,Asus,3,3,1,3,15.598425196850393,0.8275862068965517,6,256,4.41,733,Low,True,False
27,27,HP,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.21155,913,Low,True,False
28,28,HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0429,1421,Low,False,True
29,29,HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.106221030042918,837,Low,False,True
30,30,Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.8665000000000003,1515,Low,False,True
31,31,Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.4839,1880,Medium,False,True
32,32,Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.66805,2069,Medium,False,True
33,33,Asus,3,3,1,7,15.598425196850393,0.6206896551724138,8,256,3.7485,1420,Low,True,False
34,34,HP,3,2,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1179,Low,True,False
35,35,Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.5280000000000005,1123,Low,False,True
36,36,Acer,3,3,1,3,15.598425196850393,0.9310344827586208,4,256,4.851000000000001,727,Low,True,False
37,37,HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.59415,1255,Low,True,False
38,38,HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.106221030042918,888,Low,False,True
39,39,Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.85875,1418,Low,False,True
40,40,Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.75625,1396,Low,True,False
41,41,HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2634,1374,Low,True,False
42,42,HP,3,1,1,5,15.598425196850393,0.5517241379310345,6,256,4.21155,786,Low,True,False
43,43,Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.615,1023,Low,False,True
44,44,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.69665,925,Low,True,False
45,45,Lenovo,1,3,1,7,15.0,0.9655172413793103,16,256,5.5125,1371,Low,False,True
46,46,Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.615,1085,Low,False,True
47,47,Huawei,4,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,1714,Medium,False,True
48,48,HP,3,3,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1172,Low,True,False
49,49,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,256,4.106221030042918,1777,Medium,True,False
50,50,Acer,4,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.4696000000000002,1256,Low,False,True
51,51,HP,3,3,1,7,17.299212598425196,0.6206896551724138,8,256,5.5125,1327,Low,True,False
52,52,Dell,4,2,1,7,13.299212598425196,0.6206896551724138,8,256,2.646,1841,Medium,True,False
53,53,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1184,Low,False,True
54,54,HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.59415,1310,Low,True,False
55,55,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,1460,Low,True,False
56,56,Dell,3,1,2,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,860,Low,True,False
57,57,Toshiba,4,2,1,7,13.299212598425196,0.8620689655172414,8,256,2.646,1731,Medium,True,False
58,58,Acer,3,3,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,1057,Low,True,False
59,59,Asus,3,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.41,977,Low,True,False
60,60,Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.5280000000000005,1091,Low,True,False
61,61,Dell,3,1,2,7,15.598425196850393,0.9310344827586208,16,256,4.106221030042918,1142,Low,True,False
62,62,Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1075,Low,False,True
63,63,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.6448,1117,Low,True,False
64,64,Asus,1,3,1,7,17.299212598425196,1.0,16,256,7.938000000000001,3810,High,True,False
65,65,Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.615,892,Low,False,True
66,66,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,256,3.10905,1206,Low,True,False
67,67,Lenovo,3,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.52025,1118,Low,True,False
68,68,Dell,3,1,2,7,15.598425196850393,0.6206896551724138,8,256,4.106221030042918,934,Low,True,False
69,69,Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1053,Low,False,True
70,70,Lenovo,3,2,1,5,15.598425196850393,0.8620689655172414,6,256,4.851000000000001,735,Low,True,False
71,71,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,6.615,1208,Low,False,True
72,72,Lenovo,3,2,1,7,15.0,0.9310344827586208,8,256,4.29975,1394,Low,False,True
73,73,Asus,4,3,1,5,15.598425196850393,0.8620689655172414,8,256,3.7485,1241,Low,True,False
74,74,Dell,3,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.41,2323,Medium,True,False
75,75,Lenovo,3,2,1,5,15.598425196850393,0.5517241379310345,8,256,4.52025,939,Low,True,False
76,76,Acer,3,3,2,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1244,Low,True,False
77,77,Dell,5,3,1,7,17.299212598425196,1.0,16,256,7.5411,3665,High,True,False
78,78,Toshiba,3,3,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1325,Low,False,True
79,79,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.4255000000000004,1269,Low,False,True
80,80,HP,3,2,1,5,14.0,0.8620689655172414,8,256,4.29975,1245,Low,True,False
81,81,HP,3,2,1,7,14.0,0.9310344827586208,8,256,3.2634,1641,Medium,True,False
82,82,Asus,3,2,1,7,14.0,0.9310344827586208,8,256,4.41,1390,Low,True,False
83,83,Asus,4,3,1,7,15.598425196850393,0.9310344827586208,8,256,3.7485,1334,Low,True,False
84,84,HP,4,2,1,7,12.5,0.9310344827586208,8,256,2.7783,1696,Medium,True,False
85,85,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1198,Low,False,True
86,86,Asus,1,3,1,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1269,Low,True,False
87,87,HP,3,2,1,5,14.0,0.896551724137931,8,256,3.2634,1611,Low,True,False
88,88,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.0572,1453,Low,True,False
89,89,Dell,3,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.41,1452,Low,True,False
90,90,Dell,4,2,1,7,13.299212598425196,0.6206896551724138,8,256,2.646,2006,Medium,True,False
91,91,HP,3,2,1,7,15.598425196850393,0.9310344827586208,8,256,4.0572,1656,Medium,True,False
92,92,HP,5,3,1,7,15.598425196850393,0.9655172413793103,8,256,5.7330000000000005,2208,Medium,True,False
93,93,Dell,3,2,1,5,14.0,0.896551724137931,8,256,2.9988,1813,Medium,True,False
94,94,Asus,3,2,1,5,14.0,0.8620689655172414,8,256,4.41,1200,Low,True,False
95,95,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,5.137650000000001,1142,Low,True,False
96,96,HP,4,2,1,7,14.0,0.9310344827586208,8,256,2.9988,2223,Medium,False,True
97,97,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,3.3075,1396,Low,False,True
98,98,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,4,128,3.3075,697,Low,False,True
99,99,Dell,5,3,1,7,15.0,0.9310344827586208,8,256,4.41,2712,Medium,False,True
100,100,MSI,1,3,1,7,17.299212598425196,0.9655172413793103,8,256,5.953500000000001,1714,Medium,True,False
101,101,Dell,3,1,2,7,15.598425196850393,0.9310344827586208,8,256,5.137650000000001,989,Low,True,False
102,102,Lenovo,3,1,1,7,15.0,0.6206896551724138,8,256,4.6305000000000005,1562,Low,False,True
103,103,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,4.1895,1192,Low,False,True
104,104,Acer,3,3,2,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1117,Low,True,False
105,105,Dell,3,1,2,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,761,Low,True,False
106,106,HP,4,2,1,7,14.0,0.8620689655172414,8,256,3.15315,1905,Medium,True,False
107,107,Lenovo,4,1,1,7,14.0,0.6206896551724138,8,256,3.85875,1544,Low,False,True
108,108,HP,3,2,1,7,15.598425196850393,1.0,8,256,5.0935500000000005,1813,Medium,True,False
109,109,Dell,4,2,2,7,14.0,0.9655172413793103,8,256,3.5280000000000005,1396,Low,True,False
110,110,Lenovo,3,2,1,7,13.000000000000002,0.9310344827586208,8,256,3.0869999999999997,1283,Low,False,True
111,111,Lenovo,3,2,1,3,14.0,0.9310344827586208,4,128,3.7485,761,Low,False,True
112,112,Asus,3,2,2,5,15.598425196850393,0.8620689655172414,4,256,4.41,710,Low,True,False
113,113,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,4,256,4.851000000000001,951,Low,True,False
114,114,Lenovo,4,2,1,5,12.0,0.8620689655172414,8,256,2.9988,1815,Medium,False,True
115,115,Dell,3,3,1,5,14.0,0.9655172413793103,8,256,3.6162,1498,Low,True,False
116,116,MSI,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.851000000000001,1306,Low,True,False
117,117,Dell,5,3,1,7,15.0,0.9310344827586208,16,256,4.78485,2509,Medium,False,True
118,118,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.6382499999999998,1709,Medium,True,False
119,119,Lenovo,3,3,1,7,15.598425196850393,1.0,8,256,5.88735,2655,Medium,True,False
120,120,Dell,4,2,1,5,15.598425196850393,0.5517241379310345,8,256,3.1311,2340,Medium,True,False
121,121,Dell,5,3,1,7,15.598425196850393,0.9655172413793103,8,256,3.9249,3059,High,True,False
122,122,Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,2124,Medium,False,True
123,123,HP,3,2,1,5,13.000000000000002,0.5517241379310345,4,128,3.28545,922,Low,False,True
124,124,Lenovo,3,2,1,5,14.0,0.5517241379310345,8,256,3.85875,1333,Low,False,True
125,125,Lenovo,3,3,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1286,Low,False,True
126,126,Lenovo,3,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.78485,1142,Low,True,False
127,127,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,8,256,3.0869999999999997,1206,Low,False,True
128,128,Lenovo,3,2,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1157,Low,False,True
129,129,Lenovo,3,2,1,5,13.299212598425196,0.8620689655172414,8,256,3.1752,1206,Low,True,False
130,130,Dell,4,2,1,5,13.299212598425196,0.8620689655172414,8,128,2.84445,1142,Low,False,True
131,131,HP,3,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.498200000000001,1129,Low,True,False
132,132,HP,4,2,1,7,13.000000000000002,0.9310344827586208,8,256,2.9106,1777,Medium,False,True
133,133,Dell,3,2,1,5,14.0,0.896551724137931,8,256,3.6162,1626,Medium,True,False
134,134,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,4.4541,1702,Medium,True,False
135,135,Dell,3,2,1,5,15.598425196850393,0.9655172413793103,8,256,4.1895,1749,Medium,True,False
136,136,Dell,3,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.25565,1739,Medium,True,False
137,137,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1013,Low,True,False
138,138,Lenovo,3,3,1,7,14.0,0.9310344827586208,8,256,4.12335,1091,Low,False,True
139,139,Dell,3,2,1,3,14.0,0.6896551724137931,4,128,3.5280000000000005,935,Low,True,False
140,140,HP,3,2,1,3,15.598425196850393,0.8275862068965517,4,128,4.6305000000000005,896,Low,True,False
141,141,Lenovo,3,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.851000000000001,634,Low,True,False
142,142,Dell,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1895,1419,Low,True,False
143,143,Lenovo,3,2,1,3,15.598425196850393,0.9310344827586208,4,128,4.52025,800,Low,True,False
144,144,Lenovo,3,3,1,7,17.0,0.9655172413793103,8,256,7.497,3810,High,False,True
145,145,Lenovo,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,5.0714999999999995,1054,Low,True,False
146,146,Dell,3,1,2,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,951,Low,True,False
147,147,HP,3,2,1,3,13.299212598425196,0.8275862068965517,4,128,3.28545,913,Low,True,False
148,148,Dell,3,3,1,7,15.598425196850393,0.9655172413793103,16,256,4.25565,1953,Medium,True,False
149,149,Lenovo,4,2,1,7,14.0,0.896551724137931,12,256,3.0869999999999997,2125,Medium,False,True
150,150,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.7485,1872,Medium,False,True
151,151,Dell,5,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.5423,2240,Medium,True,False
152,152,HP,3,2,1,7,15.598425196850393,0.9310344827586208,8,256,4.0572,1548,Low,True,False
153,153,Toshiba,3,2,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1777,Medium,False,True
154,154,Dell,3,1,2,5,15.598425196850393,0.8620689655172414,4,128,4.806900000000001,723,Low,True,False
155,155,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.6382499999999998,1861,Medium,True,False
156,156,Dell,3,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.41,2312,Medium,True,False
157,157,Lenovo,3,2,1,5,15.598425196850393,0.5517241379310345,4,256,3.9690000000000003,1053,Low,True,False
158,158,Acer,4,2,1,5,14.0,0.8620689655172414,8,256,3.9690000000000003,1167,Low,False,True
159,159,Razer,1,3,1,7,14.0,0.9655172413793103,16,256,4.29975,3301,High,True,False
160,160,Toshiba,3,2,1,5,13.299212598425196,0.793103448275862,8,256,2.646,1541,Low,True,False
161,161,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2012,Medium,False,True
162,162,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,256,2.646,1842,Medium,True,False
163,163,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1167,Low,True,False
164,164,Dell,3,2,1,5,14.0,0.8275862068965517,8,256,3.4398000000000004,1561,Low,True,False
165,165,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1598,Low,False,True
166,166,Asus,4,2,1,5,14.0,0.8620689655172414,8,256,2.4255000000000004,1442,Low,True,False
167,167,Acer,1,3,1,5,15.598425196850393,0.8620689655172414,16,256,5.5125,1650,Medium,True,False
168,168,MSI,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.851000000000001,1268,Low,True,False
169,169,HP,3,1,1,3,17.0,0.6896551724137931,4,256,5.5125,888,Low,False,True
170,170,Lenovo,3,2,1,5,14.0,0.8620689655172414,4,256,3.7485,888,Low,True,False
171,171,Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.3075,1236,Low,False,True
172,172,Dell,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.806900000000001,1010,Low,True,False
173,173,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.9690000000000003,1513,Low,True,False
174,174,Dell,3,3,2,5,14.0,0.9655172413793103,8,256,3.6162,1383,Low,True,False
175,175,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,4.12335,1089,Low,False,True
176,176,Dell,3,2,1,5,15.598425196850393,0.896551724137931,8,256,4.1895,1498,Low,True,False
177,177,HP,3,3,1,7,17.299212598425196,0.9310344827586208,8,256,5.79915,1524,Low,True,False
178,178,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9106,1904,Medium,False,True
179,179,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.1752,1219,Low,False,True
180,180,HP,5,3,1,7,15.598425196850393,0.9655172413793103,16,256,5.7330000000000005,3073,High,True,False
181,181,Toshiba,3,2,1,5,14.0,0.8620689655172414,8,256,2.75625,1950,Medium,False,True
182,182,Samsung,4,2,1,7,13.299212598425196,0.9310344827586208,16,256,1.7860500000000001,2095,Medium,True,False
183,183,HP,3,2,1,3,15.598425196850393,0.6896551724137931,8,256,4.1013,685,Low,True,False
184,184,HP,3,2,1,5,15.598425196850393,0.8275862068965517,8,256,4.0572,2414,Medium,True,False
185,185,HP,5,3,1,7,15.598425196850393,0.896551724137931,8,256,5.7109499999999995,1983,Medium,True,False
186,186,Dell,4,2,1,7,12.5,0.9655172413793103,16,256,2.6019,2361,Medium,True,False
187,187,Samsung,4,2,1,7,15.598425196850393,0.9310344827586208,8,256,2.8885500000000004,2031,Medium,True,False
188,188,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,16,256,5.0714999999999995,1501,Low,True,False
189,189,Acer,3,2,1,3,14.0,0.8275862068965517,4,128,3.9690000000000003,808,Low,False,True
190,190,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.777100000000001,1251,Low,True,False
191,191,Dell,3,1,1,3,15.598425196850393,0.6896551724137931,8,256,4.41,939,Low,True,False
192,192,HP,5,3,1,7,15.598425196850393,0.9655172413793103,8,256,6.9237,2623,Medium,True,False
193,193,Asus,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,5.22585,1396,Low,True,False
194,194,Dell,4,2,1,5,13.299212598425196,0.8620689655172414,8,256,2.84445,1904,Medium,True,False
195,195,Samsung,4,2,1,5,13.299212598425196,0.8620689655172414,8,256,1.7860500000000001,1904,Medium,True,False
196,196,Dell,3,1,1,5,15.598425196850393,0.8620689655172414,8,256,4.806900000000001,1003,Low,True,False
197,197,Lenovo,4,2,1,7,14.0,0.9310344827586208,8,256,2.9106,2361,Medium,True,False
198,198,MSI,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.292,1523,Low,True,False
199,199,Acer,3,2,1,3,14.0,0.8275862068965517,8,128,3.3075,786,Low,False,True
200,200,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.7485,1507,Low,True,False
201,201,Lenovo,3,2,1,5,14.0,0.896551724137931,8,256,2.9106,2096,Medium,False,True
202,202,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,4,256,4.806900000000001,939,Low,True,False
203,203,Lenovo,4,3,1,7,14.0,0.9655172413793103,8,256,4.3218,2417,Medium,False,True
204,204,Asus,3,3,1,7,15.0,0.9310344827586208,8,256,5.0714999999999995,1000,Low,False,True
205,205,Dell,3,2,1,5,15.598425196850393,0.8620689655172414,8,128,4.1895,1200,Low,True,False
206,206,HP,3,1,1,5,15.598425196850393,0.896551724137931,8,256,4.0572,1714,Medium,True,False
207,207,Toshiba,3,2,1,5,13.299212598425196,0.8620689655172414,4,128,2.3152500000000003,1632,Medium,True,False
208,208,Acer,3,2,1,5,14.0,0.8620689655172414,8,256,3.4398000000000004,1146,Low,False,True
209,209,Toshiba,3,2,1,7,15.0,0.9310344827586208,8,256,4.41,1763,Medium,False,True
210,210,Samsung,4,3,1,7,15.0,0.9310344827586208,16,256,2.71215,2349,Medium,True,False
211,211,Dell,4,2,1,7,12.5,0.9655172413793103,8,256,3.5280000000000005,2147,Medium,True,False
212,212,Xiaomi,4,3,1,5,13.000000000000002,0.793103448275862,8,256,2.8224,1188,Low,False,True
213,213,HP,3,2,1,5,15.598425196850393,0.8620689655172414,4,256,4.498200000000001,1066,Low,True,False
214,214,HP,3,2,1,5,14.0,0.8620689655172414,4,128,4.29975,1607,Low,True,False
215,215,Samsung,4,2,1,7,15.0,0.9310344827586208,8,256,2.57985,2158,Medium,True,False
216,216,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9106,2285,Medium,False,True
217,217,Toshiba,3,2,1,5,13.299212598425196,0.8620689655172414,8,256,2.3152500000000003,1874,Medium,True,False
218,218,Dell,3,2,1,5,14.0,0.9655172413793103,8,256,3.5280000000000005,1531,Low,True,False
219,219,Lenovo,3,3,1,7,15.598425196850393,0.9310344827586208,6,256,4.851000000000001,1002,Low,True,False
220,220,HP,3,3,1,7,15.598425196850393,0.9310344827586208,8,256,4.498200000000001,1294,Low,True,False
221,221,Lenovo,3,2,1,5,13.299212598425196,0.8620689655172414,4,128,3.1752,1119,Low,True,False
222,222,HP,3,2,1,5,13.299212598425196,0.8620689655172414,8,256,3.28545,1219,Low,True,False
223,223,HP,4,1,1,7,15.598425196850393,0.8620689655172414,8,256,4.0572,1648,Medium,True,False
224,224,Toshiba,3,3,1,7,15.0,0.896551724137931,16,256,5.292,2509,Medium,False,True
225,225,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2096,Medium,False,True
226,226,HP,3,2,1,5,15.598425196850393,0.793103448275862,8,256,5.0935500000000005,1480,Low,True,False
227,227,Toshiba,3,2,1,5,14.0,0.793103448275862,4,128,3.24135,1404,Low,False,True
228,228,HP,2,2,1,5,12.5,0.793103448275862,8,256,2.7783,2120,Medium,True,False
229,229,Dell,4,2,1,5,14.0,0.8620689655172414,8,256,2.9988,2082,Medium,True,False
230,230,Dell,4,2,1,5,15.598425196850393,0.8620689655172414,8,256,2.9988,1870,Medium,True,False
231,231,Dell,4,2,1,7,14.0,0.9655172413793103,8,256,2.9988,2255,Medium,True,False
232,232,Toshiba,3,2,1,5,13.299212598425196,0.793103448275862,8,256,2.646,1855,Medium,True,False
233,233,Lenovo,4,2,1,7,14.0,0.896551724137931,8,256,3.7485,1891,Medium,False,True
234,234,Toshiba,3,2,1,5,13.299212598425196,0.8275862068965517,8,256,2.646,1950,Medium,True,False
235,235,Lenovo,4,2,1,5,12.0,0.896551724137931,8,256,2.9988,2236,Medium,False,True
236,236,Lenovo,3,3,1,5,15.598425196850393,0.8620689655172414,6,256,5.292,883,Low,True,False
237,237,Toshiba,3,2,1,5,14.0,0.793103448275862,8,256,4.29975,1499,Low,True,False
